execucao_id,participante_id,tarefa_num,asq_q1_facil,asq_q2_tempo,asq_q3_nao_perdido,asq_score_medio,asq_q4_leitor_anuncia,asq_q5_nav_eficiente,asq_q6_dificuldade_original,asq_q6_codigos_tematicos,asq_q6_valencia,tlx_demanda_mental,tlx_demanda_fisica,tlx_demanda_temporal,tlx_desempenho,tlx_esforco,tlx_frustracao,tlx_score_medio,fonte_dado,observacoes,flag_revisao
exp01_T1,exp01,1,2,2,1,"1,666666667",4,4,,,,12,12,0,0,12,0,6,,,
exp01_T2,exp01,2,1,1,1,1,1,1,,,,20,17,0,20,20,20,"16,16666667",,,
exp01_T3,exp01,3,5,5,4,"4,666666667",7,7,,,,12,10,0,1,15,0,"6,333333333",,,
exp01_T4,exp01,4,4,1,5,"3,333333333",7,5,,,,12,10,0,8,18,0,8,,,
exp01_T5,exp01,5,1,1,1,1,1,1,,,,20,18,0,20,20,20,"16,33333333",,,
,,,,,,,,,,,,,,,,,,,,,
exp02_T1,exp02,1,3,3,1,"2,333333333",5,5,,,,10,15,8,0,16,16,"10,83333333",,,
exp02_T2,exp02,2,1,1,1,1,1,1,,,,15,10,5,20,18,18,"14,33333333",,,
exp02_T3,exp02,3,6,6,6,6,7,7,,,,5,5,3,8,5,3,"4,833333333",,,
exp02_T4,exp02,4,2,2,2,2,3,2,,,,18,17,12,2,20,10,"13,16666667",,,
exp02_T5,exp02,5,1,1,1,1,1,1,,,,20,18,10,20,18,20,"17,66666667",,,
,,,,,,,,,,,,,,,,,,,,,
exp03_T1,exp03,1,7,7,7,7,6,7,,,,1,1,2,0,2,1,"1,166666667",,,
exp03_T2,exp03,2,1,1,1,1,2,1,,,,20,18,20,20,20,20,"19,66666667",,,
exp03_T3,exp03,3,3,5,5,"4,333333333",6,3,,,,18,15,20,0,17,18,"14,66666667",,,
exp03_T4,exp03,4,2,2,2,2,1,2,,,,15,17,18,18,19,18,"17,5",,,
exp03_T5,exp03,5,1,1,1,1,1,2,,,,20,20,20,20,18,15,"18,83333333",,,
,,,,,,,,,,,,,,,,,,,,,
exp04_T1,exp04,1,6,7,6,"6,333333333",4,5,,,,5,1,9,5,4,1,"4,166666667",,,
exp04_T2,exp04,2,1,1,1,1,1,1,,,,10,3,10,20,7,12,"10,33333333",,,
exp04_T3,exp04,3,6,7,7,"6,666666667",6,7,,,,5,1,7,0,4,0,"2,833333333",,,
exp04_T4,exp04,4,5,6,7,6,3,4,,,,7,1,10,0,4,2,4,,,
,,,,,,,,,,,,,,,,,,,,,
