objetivo_id,execucao_id,participante_id,tarefa_num,objetivo_num,objetivo_descricao,tempo_inicio_gravacao,tempo_fim_gravacao,tempo_seg,status,dica_n2_aplicada,resposta_verbalizada,resposta_correta_esperada,acertou,fonte_dado,observacoes,flag_revisao
exp01,,,,,,,,,,,,,,,,
exp01_T1_O1,exp01_T1,exp01,1,1,Localizar botão iniciar,00:59:05,01:06:25,00:07:20,concluido_com_dica_n2,sim,,,,,"Entrou em página errada, teve que ser redirecionado ã página de início",
exp01_T1_O2,exp01_T1,exp01,1,2,Preencher formulário,01:06:48,01:10:19,00:03:31,concluido_sem_assistencia,não,,,,,Elogiou o CAPTCHA por não precisar analisar imagens ou áudios,
exp01_T1_O3,exp01_T1,exp01,1,3,Identificar situação CPF,01:10:19,01:11:29,00:01:10,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp01_T2_N1,exp01_T2,exp01,2,1,Link estratégias e governança digital,01:24:35,01:25:44,00:01:09,concluido_sem_assistencia,não,,,,,,
exp01_T2_N2,exp01_T2,exp01,2,2,Link Transformação Digital,01:25:56,01:27:15,00:01:19,concluido_sem_assistencia,não,,,,,,
exp01_T2_N3,exp01_T2,exp01,2,3,Link Central de Qualidade,01:28:35,01:28:59,00:00:24,concluido_sem_assistencia,não,,,,,,
exp01_T2_N4,exp01_T2,exp01,2,4,Link Painel de monitoramento de serviços,01:29:10,01:32:50,00:03:40,concluido_sem_assistencia,não,,,,,,
exp01_T2_O1,exp01_T2,exp01,2,5,Identificar total de serviços digitais,01:33:13,01:46:00 - Bloqueio,,nao_concluido,sim,,,,,Não foi possível concluir nem com ajuda do mouse,
exp01_T2_O2,exp01_T2,exp01,2,6,Identificar média de utilidade das páginas,NA,NA,,NA,NA,,,,,,
,,,,,,,,,,,,,,,,
exp01_T3_O1,exp01_T3,exp01,3,1,Identificar informações unidade atendimento,02:12:58,02:21:24,00:08:26,concluido_com_dica_n2,sim,,,,,,
,,,,,,,,,,,,,,,,
exp01_T4_O1,exp01_T4,exp01,4,1,Link censo 2022,02:30:50,02:35:24,00:04:34,concluido_sem_assistencia,sim,,,,,,
exp01_T4_O2,exp01_T4,exp01,4,2,Link resultados censo 2022,NA,NA,,atalhado,NA,,,,,,
exp01_T4_O3,exp01_T4,exp01,4,3,Identificar população do estado,02:31:36,02:34:25,00:02:49,concluido_com_dica_n2,sim,,,,,,
exp01_T4_O4,exp01_T4,exp01,4,4,Identificar porcentagem de pessoas com deficiência,02:35:45,Tempo - 02:45:00,,nao_concluido,sim,,,,,,
,,,,,,,,,,,,,,,,
exp01_T5_O1,exp01_T5,exp01,5,1,Identificar total de empresas ativas no Brasil,01:53:15,02:06:50 - Bloqueio,,nao_concluido,sim,,,,,O participante conseguiu encontrar a informação após o fim da tarefa com o mouse e ajuda do pesquisador,
exp02,,,,,,,,,,,,,,,,
exp02_T1_O1,exp02_T1,exp02,1,1,Localizar botão iniciar,00:32:54,00:39:12,00:06:18,concluido_com_dica_n2,sim,,,,,,
exp02_T1_O2,exp02_T1,exp02,1,2,Preencher formulário,00:39:12,00:41:00,00:01:48,concluido_sem_assistencia,não,,,,,,
exp02_T1_O3,exp02_T1,exp02,1,3,Identificar situação CPF,00:41:00,00:41:28,00:00:28,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp02_T2_N1,exp02_T2,exp02,2,1,Link estratégias e governança digital,00:52:52,00:54:00,00:01:08,concluido_sem_assistencia,não,,,,,,
exp02_T2_N2,exp02_T2,exp02,2,2,Link Transformação Digital,00:54:10,00:54:43,00:00:33,concluido_sem_assistencia,não,,,,,,
exp02_T2_N3,exp02_T2,exp02,2,3,Link Central de Qualidade,00:54:46,00:55:34,00:00:48,concluido_sem_assistencia,não,,,,,,
exp02_T2_N4,exp02_T2,exp02,2,4,Link Painel de monitoramento de serviços,00:55:36,00:57:05,00:01:29,concluido_sem_assistencia,não,,,,,,
